chr	start	end	Annotation
chr5	129401119	129401360	intron.(NM_175856,.intron.2.of.2)
chr5	129402751	129405145	intron.(NM_175856,.intron.2.of.2)
chr5	129437017	129440155	intron.(NM_175856,.intron.2.of.2)
chr5	129441859	129444041	intron.(NM_175856,.intron.2.of.2)
chr5	129444529	129449553	intron.(NM_175856,.intron.2.of.2)
chr5	129473152	129475235	intron.(NM_175856,.intron.2.of.2)
chr5	129489886	129492981	intron.(NM_175856,.intron.2.of.2)
chr5	129506084	129506248	intron.(NM_175856,.intron.2.of.2)
chr5	129508339	129508723	intron.(NM_175856,.intron.2.of.2)
chr5	129800679	129801990	Intergenic
chr5	130352312	130353534	Intergenic
chr5	130399402	130401714	Intergenic
chr5	130544817	130545171	Intergenic
chr5	130545201	130546406	Intergenic
chr5	130546673	130547025	Intergenic
chr5	130699946	130700370	intron.(NM_020240,.intron.3.of.5)
chr5	130847122	130852197	intron.(NM_001164389,.intron.7.of.24)
chr5	130865633	130873867	intron.(NM_001164389,.intron.6.of.24)
chr5	131082982	131083520	intron.(NM_001008738,.intron.1.of.16)
chr5	131119058	131119764	intron.(NM_001008738,.intron.1.of.16)
chr5	131160954	131161162	intron.(NM_001303622,.intron.11.of.12)
chr5	131562155	131564906	promoter-TSS.(NM_004199)
chr5	131628117	131632685	exon.(NM_003059,.exon.1.of.10)
chr5	131645712	131646055	intron.(NM_003059,.intron.1.of.9)
chr5	131963365	131967084	intron.(NM_005732,.intron.21.of.24)
chr5	131998297	132000669	Intergenic
chr5	132009977	132011374	intron.(NM_000589,.intron.2.of.3)
chr5	132070982	132074288	intron.(NM_001300792,.intron.1.of.17)
chr5	132154597	132156362	Intergenic
chr5	132584402	132588541	intron.(NM_015082,.intron.6.of.15)
chr5	132594508	132595749	intron.(NM_015082,.intron.6.of.15)
chr5	132639003	132639276	intron.(NM_015082,.intron.6.of.15)
chr5	133130918	133131358	Intergenic
chr5	133291834	133294878	intron.(NM_020199,.intron.2.of.2)
chr5	133433920	133441931	Intergenic
chr5	133463402	133463819	intron.(NR_033449,.intron.1.of.7)
chr5	133615406	133616329	Intergenic
chr5	133767750	133769477	intron.(NR_105044,.intron.1.of.2)
chr5	133770745	133774435	Intergenic
chr5	133800278	133803725	Intergenic
chr5	133837027	133838418	Intergenic
chr5	133867893	133868155	intron.(NM_015288,.intron.1.of.10)
chr5	133882655	133886926	intron.(NM_001289984,.intron.3.of.10)
chr5	133888812	133889208	intron.(NM_001289984,.intron.4.of.10)
chr5	133922563	133923121	Intergenic
chr5	133936283	133936707	TTS.(NM_001033503)
chr5	134275005	134276021	intron.(NM_032151,.intron.2.of.3)
chr5	134365834	134369994	intron.(NM_002653,.intron.1.of.2)
chr5	134388429	134390021	intron.(NM_001277348,.intron.2.of.5)
chr5	134712546	134714010	intron.(NM_138610,.intron.2.of.8)
chr5	134728407	134728720	intron.(NM_004893,.intron.1.of.8)
chr5	134883209	134883455	Intergenic
chr5	135423754	135423944	Intergenic
chr5	135476825	135477372	intron.(NM_001001420,.intron.1.of.6)
chr5	135477596	135478337	intron.(NM_001001420,.intron.1.of.6)
chr5	135480514	135480741	intron.(NM_001001420,.intron.1.of.6)
chr5	136977942	136978173	intron.(NM_001257194,.intron.8.of.14)
chr5	137094102	137094488	Intergenic
chr5	137094604	137095421	Intergenic
chr5	137193424	137194712	Intergenic
chr5	137270243	137271809	intron.(NM_014386,.intron.12.of.13)
chr5	137390620	137391271	Intergenic
chr5	137512946	137515545	promoter-TSS.(NM_005733)
chr5	137666643	137667585	intron.(NM_001790,.intron.1.of.13)
chr5	137753072	137753992	intron.(NM_016604,.intron.13.of.23)
chr5	137883292	137883504	Intergenic
chr5	137946185	137947920	Intergenic
chr5	138118789	138120781	intron.(NM_001290307,.intron.3.of.18)
chr5	138362753	138363057	intron.(NM_022464,.intron.5.of.9)
chr5	138475539	138477870	intron.(NM_022464,.intron.1.of.9)
chr5	138508381	138522900	intron.(NM_022464,.intron.1.of.9)
chr5	138744922	138755745	intron.(NM_152686,.intron.7.of.7)
chr5	138780167	138780751	Intergenic
chr5	138860157	138863277	intron.(NM_001301738,.intron.1.of.5)
chr5	138896506	138898976	Intergenic
chr5	138985198	138985665	intron.(NM_003339,.intron.2.of.6)
chr5	138985682	138985947	intron.(NM_003339,.intron.2.of.6)
chr5	138988048	138988226	intron.(NM_003339,.intron.2.of.6)
chr5	139063271	139071688	Intergenic
chr5	139073996	139074483	Intergenic
chr5	139074777	139082251	Intergenic
chr5	139087306	139092759	Intergenic
chr5	139174397	139176353	promoter-TSS.(NM_032289)
chr5	139223532	139223744	3'.UTR.(NM_032289,.exon.15.of.15)
chr5	139226264	139229259	exon.(NM_004883,.exon.10.of.10)
chr5	139246541	139251203	intron.(NM_013982,.intron.4.of.10)
chr5	139252371	139252711	intron.(NM_013981,.intron.3.of.9)
chr5	139348587	139349509	intron.(NM_013981,.intron.1.of.9)
chr5	139409982	139423919	intron.(NM_013981,.intron.1.of.9)
chr5	139536340	139537553	promoter-TSS.(NR_130738)
chr5	139559502	139561923	intron.(NM_032412,.intron.1.of.2)
chr5	139586576	139587503	intron.(NM_032412,.intron.2.of.2)
chr5	139600030	139600224	intron.(NM_032412,.intron.2.of.2)
chr5	139602716	139602917	intron.(NM_032412,.intron.2.of.2)
chr5	139630653	139632584	intron.(NM_002622,.intron.3.of.3)
chr5	140052324	140052448	exon.(NM_194249,.exon.3.of.4)
chr5	140056491	140058635	exon.(NM_002109,.exon.6.of.13)
chr5	140463877	140465110	Intergenic
chr5	140566077	140567609	5'.UTR.(NM_019119,.exon.1.of.1)
chr5	140593418	140593885	5'.UTR.(NM_018933,.exon.1.of.1)
chr5	140602385	140603808	exon.(NM_018934,.exon.1.of.1)
chr5	140734534	140734732	promoter-TSS.(NM_018917)
chr5	140810087	140811488	exon.(NM_032094,.exon.1.of.1)
chr5	140883528	140895328	intron.(NM_003736,.intron.3.of.3)
chr5	140939735	140941136	intron.(NR_038333,.intron.1.of.2)
chr5	140965515	140965669	intron.(NM_001314007,.intron.3.of.28)
chr5	141022491	141022692	exon.(NM_033449,.exon.18.of.20)
chr5	141079949	141083540	Intergenic
chr5	141126940	141127340	Intergenic
chr5	141390930	141397098	Intergenic
chr5	141499480	141499726	intron.(NM_030571,.intron.1.of.7)
chr5	141499770	141500084	intron.(NM_030571,.intron.1.of.7)
chr5	141704868	141705133	promoter-TSS.(NM_030964)
chr5	142105263	142105924	Intergenic
chr5	142112700	142114218	Intergenic
chr5	142186671	142187576	intron.(NM_015071,.intron.1.of.22)
chr5	142377819	142379053	intron.(NM_015071,.intron.11.of.22)
chr5	142430375	142439967	intron.(NM_015071,.intron.15.of.22)
chr5	142480081	142481695	intron.(NM_015071,.intron.17.of.22)
chr5	142497819	142500207	intron.(NM_015071,.intron.17.of.22)
chr5	142507058	142509247	intron.(NM_015071,.intron.18.of.22)
chr5	142510033	142512573	intron.(NM_015071,.intron.18.of.22)
chr5	142524236	142526350	intron.(NM_015071,.intron.19.of.22)
chr5	142539884	142541590	intron.(NM_015071,.intron.20.of.22)
chr5	142556462	142558323	intron.(NM_015071,.intron.20.of.22)
chr5	142598802	142604099	intron.(NM_015071,.intron.22.of.22)
chr5	142676746	142676964	intron.(NM_001024094,.intron.6.of.8)
chr5	142677021	142677218	intron.(NM_001024094,.intron.6.of.8)
chr5	142692231	142695336	intron.(NM_001024094,.intron.2.of.8)
chr5	142696071	142697013	intron.(NM_001024094,.intron.2.of.8)
chr5	142711410	142711657	intron.(NM_001024094,.intron.2.of.8)
chr5	142718435	142719476	intron.(NM_001024094,.intron.2.of.8)
chr5	142725409	142737718	intron.(NM_001024094,.intron.2.of.8)
chr5	142738070	142741688	intron.(NM_001024094,.intron.2.of.8)
chr5	142836176	142836337	Intergenic
chr5	142943680	142943819	Intergenic
chr5	142968705	142969392	Intergenic
chr5	142971487	142974582	Intergenic
chr5	143569768	143569957	intron.(NM_020768,.intron.2.of.3)
chr5	143652790	143653335	intron.(NM_020768,.intron.3.of.3)
chr5	143656012	143656418	intron.(NM_020768,.intron.3.of.3)
chr5	143918585	143919216	Intergenic
chr5	145069039	145069244	Intergenic
chr5	145076745	145077493	Intergenic
chr5	145206428	145206978	intron.(NM_138492,.intron.1.of.7)
chr5	145354814	145357517	intron.(NM_152550,.intron.2.of.9)
chr5	145448522	145449722	Intergenic
chr5	146377210	146378630	intron.(NM_001271900,.intron.2.of.10)
chr5	146547979	146550668	Intergenic
chr5	146595699	146596067	Intergenic
chr5	146596112	146596818	Intergenic
chr5	146762449	146762930	intron.(NM_001287740,.intron.11.of.13)
chr5	146783009	146783230	intron.(NM_001387,.intron.8.of.13)
chr5	147100889	147101833	intron.(NM_001270941,.intron.1.of.21)
chr5	147115484	147115726	intron.(NM_001270941,.intron.1.of.21)
chr5	147156258	147156460	intron.(NM_001270941,.intron.1.of.21)
chr5	147408508	147409538	Intergenic
chr5	147541118	147543215	Intergenic
chr5	147609392	147610630	Intergenic
chr5	147698728	147700785	intron.(NR_105057,.intron.2.of.4)
chr5	148220027	148220330	Intergenic
chr5	148220852	148224192	Intergenic
chr5	148225576	148225896	Intergenic
chr5	148230355	148236400	Intergenic
chr5	148305362	148308786	Intergenic
chr5	148959488	148962166	promoter-TSS.(NM_001001669)
chr5	148985205	148986602	intron.(NM_001001669,.intron.3.of.12)
chr5	148997498	148997811	intron.(NM_001001669,.intron.5.of.12)
chr5	148997821	148998174	intron.(NM_001001669,.intron.6.of.12)
chr5	149104198	149104598	Intergenic
chr5	149134697	149134901	intron.(NM_001172698,.intron.1.of.10)
chr5	149184152	149186473	intron.(NM_001172699,.intron.1.of.10)
chr5	149415392	149415644	intron.(NM_014983,.intron.11.of.19)
chr5	149481618	149483456	intron.(NM_005211,.intron.1.of.21)
chr5	149739528	149741834	intron.(NM_001195141,.intron.1.of.25)
chr5	149777948	149778942	intron.(NM_001195141,.intron.24.of.25)
chr5	149783913	149795322	intron.(NM_004355,.intron.1.of.7)
chr5	150003319	150007521	intron.(NM_001166208,.intron.2.of.2)
chr5	150113350	150114865	intron.(NM_001135643,.intron.4.of.13)
chr5	150159633	150160006	intron.(NM_032947,.intron.1.of.1)
chr5	150284298	150284849	promoter-TSS.(NM_052860)
chr5	150785820	150786949	Intergenic
chr5	150936307	150936457	intron.(NM_001447,.intron.2.of.22)
chr5	150936717	150936853	intron.(NM_001447,.intron.2.of.22)
chr5	150956919	150957211	Intergenic
chr5	150957229	150957604	Intergenic
chr5	151065996	151067097	promoter-TSS.(NM_001309443)
chr5	151105074	151105899	Intergenic
chr5	151190067	151190680	Intergenic
chr5	151601717	151601878	intron.(NR_109876,.intron.1.of.2)
chr5	151605872	151606233	intron.(NR_109876,.intron.1.of.2)
chr5	151860123	151860297	Intergenic
chr5	152971105	152972344	intron.(NM_001258020,.intron.3.of.16)
chr5	152976798	152977691	intron.(NM_001258020,.intron.3.of.16)
chr5	152977761	152978805	intron.(NM_001258020,.intron.3.of.16)
chr5	152979972	152981919	intron.(NM_001258020,.intron.3.of.16)
chr5	153003582	153003808	intron.(NM_001258020,.intron.3.of.16)
chr5	153024680	153024961	intron.(NM_001258020,.intron.3.of.16)
chr5	153384981	153385751	intron.(NM_018691,.intron.9.of.13)
chr5	153426185	153427936	intron.(NM_001242336,.intron.1.of.2)
chr5	153618720	153618983	intron.(NM_198321,.intron.1.of.11)
chr5	153652531	153652966	intron.(NM_198321,.intron.1.of.11)
chr5	153657970	153659595	intron.(NM_198321,.intron.1.of.11)
chr5	153663655	153664061	intron.(NM_198321,.intron.1.of.11)
chr5	153664481	153664676	intron.(NM_198321,.intron.1.of.11)
chr5	153664682	153665143	intron.(NM_198321,.intron.1.of.11)
chr5	153763576	153765589	intron.(NM_198321,.intron.6.of.11)
chr5	153775653	153776112	intron.(NR_037897,.intron.2.of.2)
chr5	154103404	154103769	intron.(NM_015315,.intron.1.of.18)
chr5	154159339	154160429	intron.(NM_015315,.intron.1.of.18)
chr5	154169215	154172950	intron.(NM_015315,.intron.3.of.18)
chr5	154172997	154173332	exon.(NM_015315,.exon.5.of.19)
chr5	154568915	154570422	Intergenic
chr5	154784999	154785459	Intergenic
chr5	156042529	156044017	intron.(NM_000337,.intron.6.of.8)
chr5	156048456	156049546	intron.(NM_000337,.intron.6.of.8)
chr5	156091945	156092555	intron.(NM_000337,.intron.7.of.8)
chr5	156251163	156254685	Intergenic
chr5	156254717	156255030	Intergenic
chr5	156256890	156257254	Intergenic
chr5	156260519	156263392	Intergenic
chr5	156456800	156457026	intron.(NM_001308156,.intron.7.of.7)
chr5	156641931	156642349	intron.(NM_005546,.intron.4.of.16)
chr5	156644341	156644542	intron.(NM_005546,.intron.4.of.16)
chr5	156692349	156694811	intron.(NM_001291721,.intron.1.of.29)
chr5	156694849	156695047	intron.(NM_001291721,.intron.1.of.29)
chr5	156696227	156701669	intron.(NM_014376,.intron.1.of.30)
chr5	156710047	156710187	intron.(NM_014376,.intron.1.of.30)
chr5	156900793	156900981	3'.UTR.(NM_001172292,.exon.5.of.5)
chr5	156921258	156921746	intron.(NM_033274,.intron.15.of.22)
chr5	156925723	156933758	intron.(NM_033274,.intron.12.of.22)
chr5	156934004	156934953	intron.(NM_033274,.intron.9.of.22)
chr5	156935478	156937755	intron.(NM_033274,.intron.8.of.22)
chr5	156938366	156939466	intron.(NM_033274,.intron.8.of.22)
chr5	156939761	156940057	intron.(NM_033274,.intron.8.of.22)
chr5	156942614	156944325	intron.(NM_033274,.intron.7.of.22)
chr5	156945737	156949449	intron.(NM_033274,.intron.5.of.22)
chr5	156949907	156950725	intron.(NM_033274,.intron.5.of.22)
chr5	157017698	157026869	Intergenic
chr5	157050596	157051427	Intergenic
chr5	157064190	157067513	intron.(NM_178424,.intron.3.of.4)
chr5	157156304	157159905	promoter-TSS.(NM_017872)
chr5	157185848	157187803	3'.UTR.(NM_173491,.exon.4.of.4)
chr5	157298227	157298593	Intergenic
chr5	157375979	157376396	Intergenic
chr5	157466606	157466939	Intergenic
chr5	157602510	157602977	Intergenic
chr5	157620636	157627170	Intergenic
chr5	157660591	157662816	Intergenic
chr5	157729879	157734146	Intergenic
chr5	157824470	157828144	intron.(NR_109888,.intron.1.of.6)
chr5	157836199	157836814	intron.(NR_109888,.intron.1.of.6)
chr5	157856068	157864635	Intergenic
chr5	157991003	157992635	Intergenic
chr5	158015828	158018991	Intergenic
chr5	158069537	158072881	Intergenic
chr5	158102988	158104999	Intergenic
chr5	158175637	158178337	intron.(NM_182708,.intron.9.of.14)
chr5	158178365	158181628	intron.(NM_182708,.intron.9.of.14)
chr5	158200838	158204607	intron.(NM_182708,.intron.9.of.14)
chr5	158238587	158239914	intron.(NM_001290360,.intron.8.of.15)
chr5	158245630	158249132	intron.(NM_001290360,.intron.8.of.15)
chr5	158251359	158251663	intron.(NM_182708,.intron.6.of.14)
chr5	158251687	158252093	intron.(NM_182708,.intron.6.of.14)
chr5	158252109	158252416	intron.(NM_182708,.intron.6.of.14)
chr5	158301329	158304660	intron.(NM_182708,.intron.5.of.14)
chr5	158307023	158310273	intron.(NM_182708,.intron.5.of.14)
chr5	158310430	158313968	intron.(NM_182708,.intron.5.of.14)
chr5	158323847	158326385	intron.(NM_182708,.intron.5.of.14)
chr5	158351061	158351330	intron.(NM_182708,.intron.5.of.14)
chr5	158351440	158351672	intron.(NM_182708,.intron.5.of.14)
chr5	158378554	158382753	intron.(NM_182708,.intron.5.of.14)
chr5	158383090	158383262	intron.(NM_182708,.intron.5.of.14)
chr5	158383950	158386626	intron.(NM_182708,.intron.5.of.14)
chr5	158437272	158439290	intron.(NM_182708,.intron.5.of.14)
chr5	158458354	158458617	intron.(NM_182708,.intron.5.of.14)
chr5	158458632	158459152	intron.(NM_182708,.intron.5.of.14)
chr5	158460859	158462319	intron.(NM_182708,.intron.5.of.14)
chr5	158465501	158465701	intron.(NM_182708,.intron.5.of.14)
chr5	158465765	158466290	intron.(NM_182708,.intron.5.of.14)
chr5	158466480	158469314	intron.(NM_182708,.intron.5.of.14)
chr5	158476413	158481265	intron.(NM_182708,.intron.5.of.14)
chr5	158482740	158483157	intron.(NM_182708,.intron.5.of.14)
chr5	158511499	158511744	intron.(NM_024007,.intron.5.of.15)
chr5	158521685	158522365	intron.(NM_182708,.intron.4.of.14)
chr5	158523854	158524034	intron.(NM_182708,.intron.2.of.14)
chr5	158524367	158524510	intron.(NM_182708,.intron.1.of.14)
chr5	158524541	158524774	intron.(NM_182708,.intron.1.of.14)
chr5	158524844	158528403	promoter-TSS.(NR_109890)
chr5	158528530	158528960	intron.(NR_109890,.intron.1.of.2)
chr5	158529205	158529539	intron.(NR_109890,.intron.1.of.2)
chr5	158529724	158529915	intron.(NR_109890,.intron.1.of.2)
chr5	158531137	158532799	intron.(NR_109890,.intron.1.of.2)
chr5	158533425	158533973	intron.(NR_109890,.intron.1.of.2)
chr5	158624737	158627485	intron.(NM_001199381,.intron.2.of.10)
chr5	158758252	158759662	non-coding.(NR_037889,.exon.1.of.5)
chr5	159199848	159200908	Intergenic
chr5	159253574	159254335	intron.(NR_109891,.intron.2.of.2)
chr5	159495410	159495620	Intergenic
chr5	159507580	159508018	intron.(NM_052927,.intron.2.of.3)
chr5	159531498	159533586	intron.(NM_001267035,.intron.1.of.2)
chr5	159851799	159852157	intron.(NM_001282382,.intron.3.of.4)
chr5	159896968	159897346	intron.(NR_132748,.intron.1.of.1)
chr5	159897966	159898261	intron.(NR_132748,.intron.1.of.1)
chr5	159898883	159899184	intron.(NR_132748,.intron.1.of.1)
chr5	159899232	159899436	intron.(NR_132748,.intron.1.of.1)
chr5	160040790	160042401	intron.(NM_025153,.intron.17.of.25)
chr5	160082891	160086684	intron.(NM_025153,.intron.7.of.25)
chr5	160094223	160095300	intron.(NM_025153,.intron.7.of.25)
chr5	160099181	160100459	intron.(NM_025153,.intron.6.of.25)
chr5	160167823	160179070	intron.(NM_025153,.intron.2.of.25)
chr5	160190103	160191354	intron.(NM_025153,.intron.2.of.25)
chr5	160212294	160216320	intron.(NM_025153,.intron.1.of.25)
chr5	160224891	160228532	intron.(NM_025153,.intron.1.of.25)
chr5	160299609	160301833	Intergenic
chr5	160427818	160430066	Intergenic
chr5	160564933	160567661	Intergenic
chr5	161179251	161179445	Intergenic
chr5	161463392	161464539	Intergenic
chr5	161610918	161611169	Intergenic
chr5	161614024	161615152	Intergenic
chr5	162346583	162348417	Intergenic
chr5	162745589	162745828	Intergenic
chr5	163333862	163336387	Intergenic
chr5	163340347	163345467	Intergenic
chr5	163370726	163370910	Intergenic
chr5	163546880	163547527	Intergenic
chr5	164108711	164108931	Intergenic
chr5	164294813	164296745	Intergenic
chr5	164472587	164472911	Intergenic
chr5	164711946	164712138	Intergenic
chr5	164783418	164790859	Intergenic
chr5	166242761	166242912	Intergenic
chr5	166409821	166411244	Intergenic
chr5	169073381	169083933	intron.(NM_004946,.intron.1.of.51)
chr5	169095803	169101396	intron.(NM_004946,.intron.5.of.51)
chr5	169128320	169131770	intron.(NM_004946,.intron.14.of.51)
chr5	169131835	169133871	intron.(NM_004946,.intron.14.of.51)
chr5	169204531	169207325	intron.(NM_004946,.intron.25.of.51)
chr5	169306776	169307990	intron.(NM_001129891,.intron.3.of.3)
chr5	169373037	169373267	intron.(NM_001129891,.intron.1.of.3)
chr5	169376701	169379686	intron.(NM_001129891,.intron.1.of.3)
chr5	169389782	169392148	intron.(NM_001129891,.intron.1.of.3)
chr5	169581287	169581841	Intergenic
chr5	169581880	169582169	Intergenic
chr5	169594902	169597013	Intergenic
chr5	169597421	169597621	Intergenic
chr5	169679924	169682174	intron.(NM_005565,.intron.17.of.20)
chr5	170271051	170271455	Intergenic
chr5	170271480	170271753	Intergenic
chr5	170781939	170782805	Intergenic
chr5	170829242	170829978	intron.(NM_002520,.intron.8.of.10)
chr5	171540691	171540885	intron.(NM_005990,.intron.4.of.18)
chr5	171541538	171542878	intron.(NM_005990,.intron.4.of.18)
chr5	171788249	171788490	intron.(NM_001308175,.intron.7.of.12)
chr5	172221377	172221646	Intergenic
chr5	172481726	172485730	intron.(NM_001168393,.intron.1.of.3)
chr5	173036534	173037427	intron.(NM_138369,.intron.2.of.3)
chr5	173046029	173046728	Intergenic
chr5	173050765	173054622	Intergenic
chr5	173058039	173058226	Intergenic
chr5	173204821	173226678	intron.(NR_108028,.intron.2.of.3)
chr5	173306624	173324836	5'.UTR.(NM_001308189,.exon.1.of.9)
chr5	173325234	173365009	intron.(NM_001308191,.intron.2.of.7)
chr5	173367411	173367620	intron.(NM_001308192,.intron.3.of.8)
chr5	173367871	173370931	intron.(NM_001308192,.intron.3.of.8)
chr5	173387370	173389004	TTS.(NM_001308189)
chr5	173398628	173401714	Intergenic
chr5	173492729	173500947	intron.(NM_015980,.intron.3.of.4)
chr5	173577884	173579813	Intergenic
chr5	173695801	173704430	Intergenic
chr5	174962820	174963816	Intergenic
chr5	174982970	174986164	Intergenic
chr5	175135520	175137216	Intergenic
chr5	175393911	175396285	exon.(NM_032361,.exon.1.of.6)
chr5	175664292	175667051	intron.(NR_131772,.intron.1.of.9)
chr5	175956195	175958549	intron.(NM_014901,.intron.6.of.10)
chr5	176274842	176275486	intron.(NM_133369,.intron.1.of.14)
chr5	176275507	176276048	intron.(NM_133369,.intron.1.of.14)
chr5	176278469	176290795	intron.(NM_133369,.intron.1.of.14)
chr5	176292693	176293015	intron.(NM_133369,.intron.2.of.14)
chr5	176295344	176295958	exon.(NM_133369,.exon.4.of.15)
chr5	176324382	176324575	intron.(NM_002115,.intron.1.of.18)
chr5	176367037	176367274	intron.(NM_016290,.intron.10.of.14)
chr5	176369683	176372311	intron.(NM_016290,.intron.9.of.14)
chr5	176543521	176543923	Intergenic
chr5	176543935	176544391	Intergenic
chr5	176549659	176553442	Intergenic
chr5	176584171	176585735	intron.(NM_022455,.intron.2.of.22)
chr5	176615103	176615289	intron.(NM_022455,.intron.2.of.22)
chr5	176685018	176685241	intron.(NM_022455,.intron.13.of.22)
chr5	176733386	176740339	intron.(NM_001142935,.intron.4.of.5)
chr5	176829370	176833944	exon.(NM_000505,.exon.8.of.14)
chr5	176905702	176906879	Intergenic
chr5	176933606	176939395	exon.(NM_001144876,.exon.2.of.5)
chr5	177039276	177040228	Intergenic
chr5	177316652	177316815	Intergenic
chr5	177539378	177542186	intron.(NM_015111,.intron.1.of.4)
chr5	177542198	177542560	intron.(NM_015111,.intron.1.of.4)
chr5	177542612	177543569	intron.(NM_015111,.intron.1.of.4)
chr5	177543817	177544318	intron.(NM_015111,.intron.1.of.4)
chr5	177544761	177545915	intron.(NM_015111,.intron.1.of.4)
chr5	177664891	177665140	3'.UTR.(NM_173465,.exon.29.of.29)
chr5	177665248	177668495	intron.(NM_173465,.intron.27.of.28)
chr5	177750832	177751551	intron.(NM_173465,.intron.2.of.28)
chr5	178156306	178156573	intron.(NM_005649,.intron.1.of.4)
chr5	178286253	178288302	intron.(NM_058230,.intron.1.of.4)
chr5	178322711	178323253	promoter-TSS.(NM_030613)
chr5	178450587	178451472	intron.(NM_001136116,.intron.1.of.4)
chr5	178487286	178487773	promoter-TSS.(NM_014594)
chr5	178957101	178957966	Intergenic
chr5	178961060	178962542	Intergenic
chr5	178970074	178973207	Intergenic
chr5	178985250	178987508	promoter-TSS.(NM_001040452)
chr5	179044661	179044835	intron.(NM_001257293,.intron.8.of.13)
chr5	179104166	179107105	TTS.(NM_001164444)
chr5	179129069	179129266	intron.(NM_001746,.intron.1.of.14)
chr5	179132831	179133032	intron.(NM_001746,.intron.2.of.14)
chr5	179174960	179175166	intron.(NM_014757,.intron.1.of.4)
chr5	179188934	179189207	intron.(NM_014757,.intron.1.of.4)
chr5	179278795	179281157	intron.(NM_016175,.intron.2.of.6)
chr5	179327619	179328368	intron.(NM_015043,.intron.2.of.20)
chr5	179328468	179328823	intron.(NM_015043,.intron.2.of.20)
chr5	179328964	179329151	intron.(NM_015043,.intron.2.of.20)
chr5	179394381	179394881	intron.(NM_001280801,.intron.6.of.7)
chr5	179396944	179399523	intron.(NM_001280801,.intron.5.of.7)
chr5	179452983	179453141	intron.(NM_001280801,.intron.2.of.7)
chr5	179740777	179741311	intron.(NM_005110,.intron.13.of.18)
chr5	179780737	179780907	promoter-TSS.(NM_005110)
chr5	180273320	180275087	TTS.(NM_001172638)
chr5	180402499	180403114	Intergenic
chr5	180479758	180480202	intron.(NM_001308245,.intron.4.of.10)
chr5	180480589	180480816	intron.(NM_001308245,.intron.6.of.10)
chr5	180560102	180562129	Intergenic
chr5	180596927	180597170	Intergenic
chr5	180610610	180612437	Intergenic
chr6	208807	211014	Intergenic
chr6	388031	413495	intron.(NR_046000,.intron.6.of.9)
chr6	710393	712155	Intergenic
chr6	1767914	1768123	intron.(NM_001253846,.intron.7.of.10)
chr6	1810906	1811671	intron.(NM_001253846,.intron.7.of.10)
chr6	1812691	1812913	intron.(NM_001253846,.intron.7.of.10)
chr6	1820768	1823486	intron.(NM_001253846,.intron.7.of.10)
chr6	1869463	1869930	intron.(NM_001253846,.intron.7.of.10)
chr6	2317811	2317930	intron.(NR_046229,.intron.3.of.6)
chr6	2378495	2378773	intron.(NR_046229,.intron.4.of.6)
chr6	2706838	2707437	intron.(NM_001012418,.intron.2.of.12)
chr6	2886184	2886611	intron.(NR_110841,.intron.2.of.4)
chr6	2976791	2977539	Intergenic
chr6	3053484	3054496	Intergenic
chr6	3117843	3119971	non-coding.(NR_026648,.exon.1.of.9)
chr6	3162636	3163697	Intergenic
chr6	3186781	3187315	intron.(NR_038295,.intron.2.of.2)
chr6	3258749	3260512	intron.(NM_001128592,.intron.1.of.3)
chr6	3452281	3452765	intron.(NM_015482,.intron.1.of.9)
chr6	3742758	3743715	intron.(NM_183373,.intron.1.of.4)
chr6	3746087	3747783	intron.(NM_183373,.intron.1.of.4)
chr6	3750168	3752991	exon.(NM_183373,.exon.1.of.5)
chr6	3756627	3757291	Intergenic
chr6	3794155	3794375	Intergenic
chr6	3794420	3794741	Intergenic
chr6	3848412	3850440	promoter-TSS.(NM_012135)
chr6	3950394	3950571	Intergenic
chr6	3978266	3978557	Intergenic
chr6	4780708	4783512	intron.(NM_004824,.intron.1.of.6)
chr6	4797189	4797405	intron.(NM_004824,.intron.1.of.6)
chr6	4862753	4862927	intron.(NM_001143970,.intron.1.of.6)
chr6	4863616	4866603	intron.(NM_001143970,.intron.1.of.6)
chr6	4866974	4870199	intron.(NM_001143970,.intron.1.of.6)
chr6	4885264	4885444	intron.(NM_001143970,.intron.1.of.6)
chr6	4901104	4903060	intron.(NR_026590,.intron.4.of.8)
chr6	4904084	4904294	intron.(NR_026590,.intron.4.of.8)
chr6	4905805	4908634	intron.(NR_026590,.intron.4.of.8)
chr6	5030789	5030987	intron.(NR_126018,.intron.1.of.1)
chr6	5071175	5074220	intron.(NR_126015,.intron.2.of.3)
chr6	5083295	5087445	promoter-TSS.(NM_001145115)
chr6	5132323	5133917	intron.(NR_104417,.intron.2.of.3)
chr6	5139294	5142381	intron.(NR_104417,.intron.2.of.3)
chr6	5337531	5340140	intron.(NM_006567,.intron.1.of.6)
chr6	5580905	5582350	intron.(NM_006567,.intron.5.of.6)
chr6	5850440	5852667	Intergenic
chr6	5968009	5970625	Intergenic
chr6	6003805	6004098	exon.(NM_001278711,.exon.1.of.4)
chr6	6006006	6010266	promoter-TSS.(NM_001278710)
chr6	6330105	6334349	Intergenic
chr6	6583310	6590940	intron.(NR_026970,.intron.1.of.7)
chr6	6724225	6725960	Intergenic
chr6	6757707	6761205	Intergenic
chr6	6886938	6887367	Intergenic
chr6	6987507	6988953	Intergenic
chr6	7061092	7061314	Intergenic
chr6	7124787	7126520	intron.(NM_001003700,.intron.1.of.11)
